# based on entity examples from rerun codebase
class, entity_target
rr.McapChannel,"mcap/channels/camera"
rr.McapMessage,"mcap/messages/sensor_reading"
rr.McapSchema,"mcap/schemas/geometry_point"
rr.McapStatistics,"mcap/statistics/recording_overview"
rr.Mesh3D,"3d/mesh"
rr.Mesh3D,"3dworld/mesh"
rr.Mesh3D,"shape"
rr.Mesh3D,"triangle"
rr.Mesh3D,"world/mesh"
rr.Mesh3D.from_fields,"triangle"
rr.Pinhole,"/world/cam0"
rr.Pinhole,"3dworld/depthimage/pinhole"
rr.Pinhole,"3dworld/image/pinhole"
rr.Pinhole,"camera/image"
rr.Pinhole,"camera/pinhole"
rr.Pinhole,"map/robot/camera/img"
rr.Pinhole,"realsense/depth/image"
rr.Pinhole,"realsense/rgb/image"
rr.Pinhole,"some/nested/pinhole"
rr.Pinhole,"world/cam"
rr.Pinhole,"world/camera"
rr.Pinhole,"world/image"
rr.Points2D,"2D/points"
rr.Points2D,"2d/points"
rr.Points2D,"camera/image/keypoints"
rr.Points2D,"extra_values"
rr.Points2D,"hand2d/points"
rr.Points2D,"hidden_subtree"
rr.Points2D,"map/destination"
rr.Points2D,"map/new/close_nodes"
rr.Points2D,"map/new/closest_node"
rr.Points2D,"map/new/new_point"
rr.Points2D,"map/new/random_point"
rr.Points2D,"map/start"
rr.Points2D,"map/tree/vertices"
rr.Points2D,"points"
rr.Points2D,"random"
rr.Points2D,"scene_units"
rr.Points2D,"test2"
rr.Points2D,"ui_points"
rr.Points2D,"video/pose/points"
rr.Points2D,"world/data/nested/point"
rr.Points2D,"world/data/nested/point2"
rr.Points2D.from_fields,"/archetype_chunk_with_clear"
rr.Points2D.from_fields,"/archetype_chunk_with_latest_at_semantics"
rr.Points2D.from_fields,"points"
rr.Points3D,"/box/points"
rr.Points3D,"3D/points"
rr.Points3D,"3d/points"
rr.Points3D,"data"
rr.Points3D,"dna/structure/left"
rr.Points3D,"dna/structure/right"
rr.Points3D,"dna/structure/scaffolding/beads"
rr.Points3D,"hand3d/points"
rr.Points3D,"helix/structure/left"
rr.Points3D,"helix/structure/right"
rr.Points3D,"helix/structure/scaffolding/beads"
rr.Points3D,"large_batch"
rr.Points3D,"map/points"
rr.Points3D,"map/robot/camera/points"
rr.Points3D,"my_point"
rr.Points3D,"my_points"
rr.Points3D,"person/pose/points"
rr.Points3D,"point"
rr.Points3D,"points"
rr.Points3D,"random"
rr.Points3D,"scene_units"
rr.Points3D,"sensor/points"
rr.Points3D,"single_point"
rr.Points3D,"test1"
rr.Points3D,"ui_points"
rr.Points3D,"umap_embeddings"
rr.Points3D,"world/box/points"
rr.Points3D,"world/hours_pt"
rr.Points3D,"world/lidar"
rr.Points3D,"world/minutes_pt"
rr.Points3D,"world/points"
rr.Points3D,"world/seconds_pt"
rr.Points3D.from_fields,"/drone"
rr.Points3D.from_fields,"/lidar"
rr.Points3D.from_fields,"points"
rr.Scalars,"classification/line"
rr.Scalars,"classification/samples"
rr.Scalars,"curves/parabola"
rr.Scalars,"odometry/ang_vel"
rr.Scalars,"odometry/vel"
rr.Scalars,"plot/avg_reproj_err"
rr.Scalars,"plots/cos"
rr.Scalars,"plots/sin"
rr.Scalars,"random_walk"
rr.Scalars,"scalar"
rr.Scalars,"scalars"
rr.Scalars,"scatter/lcg"
rr.Scalars,"trig/cos"
rr.Scalars,"trig/cos_scaled"
rr.Scalars,"trig/sin"
rr.Scalars,"trig/tan_sparse"
rr.SegmentationImage,"image"
rr.SegmentationImage,"image/masks"
rr.SegmentationImage,"image/seg"
rr.SegmentationImage,"segmentation"
rr.SegmentationImage,"segmentation/image"
rr.SegmentationImage,"video/mask"
rr.SeriesLines,"curves/parabola"
rr.SeriesLines,"plot/avg_reproj_err"
rr.SeriesLines,"plots/cos"
rr.SeriesLines,"plots/sin"
rr.SeriesLines,"series/lines"
rr.SeriesLines,"trig/cos"
rr.SeriesLines,"trig/cos_scaled"
rr.SeriesLines,"trig/sin"
rr.SeriesPoints,"plots/cos"
rr.SeriesPoints,"scatter/lcg"
rr.SeriesPoints,"series/points"
rr.SeriesPoints,"trig/cos"
rr.SeriesPoints,"trig/sin"
rr.Tensor,"depth/input_preprocessed"
rr.Tensor,"diffusion/latent_model_input"
rr.Tensor,"diffusion/latents"
rr.Tensor,"diffusion/noise_pred"
rr.Tensor,"encoded_input_image"
rr.Tensor,"input_image/preprocessed"
rr.Tensor,"latent"
rr.Tensor,"mask_tensor"
rr.Tensor,"prompt/negative_text_embeddings"
rr.Tensor,"prompt/text_embeddings"
rr.Tensor,"prompt/uncond_input/ids"
rr.Tensor,"tensor"
rr.Tensor,"test_image"
rr.TextDocument,"copyright"
rr.TextDocument,"description"
rr.TextDocument,"detection"
rr.TextDocument,"doc/tabs"
rr.TextDocument,"info"
rr.TextDocument,"markdown"
rr.TextDocument,"named_entities"
rr.TextDocument,"negative_prompt"
rr.TextDocument,"positive_prompt"
rr.TextDocument,"readme"
rr.TextDocument,"stdin"
rr.TextDocument,"text"
rr.TextDocument,"text/doc"
rr.TextDocument,"text_document"
rr.TextDocument,"tokenized_text"
rr.TextDocument,"world/42/escaped\\ string\\!"
rr.TextLog,"/"
rr.TextLog,"/data1"
rr.TextLog,"log"
rr.TextLog,"log/other"
rr.TextLog,"log/status"
rr.TextLog,"logs"
rr.TextLog,"prompt/text"
rr.TextLog,"prompt/text_negative"
rr.TextLog,"test"
rr.TextLog,"text"
rr.TextLog,"text/log"
rr.TextLog,"text_log"
rr.TextLog,"updates"
rr.Transform3D,"/"
rr.Transform3D,"/box"
rr.Transform3D,"/world"
rr.Transform3D,"3dworld/image"
rr.Transform3D,"aircraft"
rr.Transform3D,"base"
rr.Transform3D,"base/rotated_scaled"
rr.Transform3D,"base/translated"
rr.Transform3D,"box"
rr.Transform3D,"camera"
rr.Transform3D,"helix/structure"
rr.Transform3D,"moon_transforms"
rr.Transform3D,"planet_transforms"
rr.Transform3D,"realsense/rgb"
rr.Transform3D,"simple"
rr.Transform3D,"sun/planet"
rr.Transform3D,"sun/planet/moon"
rr.Transform3D,"test_transform"
rr.Transform3D,"transform"
rr.Transform3D,"world/box"
rr.Transform3D,"world/camera"
rr.Transform3D,"world/data/nested/transformed"
rr.Transform3D,"world/ego_vehicle"
rr.Transform3D,"world/frame/pose"
rr.Transform3D,"world/orbit"
rr.Transform3D.from_fields,"base/rotated"
rr.Transform3D.from_fields,"base/rotated/translated"
rr.Transform3D.from_fields,"box"
rr.Transform3D.from_fields,"simple"
rr.VideoFrameReference,"frame_1s"
rr.VideoFrameReference,"frame_2s"
rr.VideoFrameReference,"video"
rr.VideoStream,"video_stream"
rr.VideoStream.from_fields,"video_stream"
rr.ViewCoordinates.LEFT_HAND_Y_DOWN,"hand3d"
rr.ViewCoordinates.RDF,"camera"
rr.ViewCoordinates.RDF,"realsense"
rr.ViewCoordinates.RDF,"reconstruction"
rr.ViewCoordinates.RIGHT_HAND_Y_DOWN,"/"
rr.ViewCoordinates.RIGHT_HAND_Y_DOWN,"person"
rr.ViewCoordinates.RIGHT_HAND_Y_UP,"world"
rr.ViewCoordinates.RIGHT_HAND_Z_UP,"/"
rr.ViewCoordinates.RIGHT_HAND_Z_UP,"world"
rr.components.TextBatch._COMPONENT_TYPE,"any_values"
rr.components.TextBatch._COMPONENT_TYPE,"new_archetype"
rr.datatypes.Vec3D,"test_transform"
